question_1,question_2
Bagaimana melarang catatan 500 dan 1000 rupee membantu mengendalikan uang hitam?,Bagaimana demonetisasi India pada 500 dan 1000 rupee akan mengurangi uang hitam?
Haruskah saya khawatir tentang apa yang dipikirkan orang tentang saya?,Bagaimana saya tidak peduli apa yang orang lain pikirkan tentang saya?
Bagaimana saya menyinkronkan iPhone saya dengan MacBook Air saya?,Bagaimana Anda menyinkronkan iPhone Anda ke MacBook baru?
"Jika gula adalah x unit buruk, berapa banyak lagi yang buruk adalah HFC?",Seberapa buruk gula adalah HFCS?
Bagaimana Shea Butter dan Aloe Vera berbeda satu sama lain dan bagaimana mereka sama?,Bagaimana Shea Butter dan Aloe Vera digunakan secara berbeda?
Apakah penggantian 500/1000 Rupee Notes dengan 500/2000 Rupee mencatat obat mujarab untuk korupsi?,Apakah larangan pada 500 & 1000 Rupee mencatat benar-benar bekerja melawan korupsi?
Apa yang bisa saya lakukan ketika saya sering merindukan seseorang?,Apa yang harus Anda lakukan jika Anda merindukan seseorang?
Mengapa saya tidak dapat melihat semua dua belas dots secara bersamaan?,Mengapa tidak mungkin untuk secara bersamaan melihat semua dua belas titik pada gambar di bawah ini?
Bagaimana saya membuat seorang gadis mencintaiku setelah berteman?,Bagaimana cara membuat seorang gadis seperti saya yang berteman dengan saya?
Mana yang merupakan puncak dunia tertinggi?,Apa gunung tertinggi di dunia?
Apa hal-hal yang dapat kita lakukan untuk membawa perubahan dalam sistem pendidikan India?,Bagaimana kita dapat mengubah sistem pendidikan India?
Berapa yang dibutuhkan seseorang dari 65 kg untuk menjadi ramping?,"Jika saya berusia 18 tahun dan berat badan saya adalah 65 kg, berapa banyak waktu yang diperlukan untuk menjadi lebih ramping?"
"Jika Donald Trump menang, apa yang akan terjadi?",Apa yang akan terjadi sekarang bahwa Presiden terpilih Donald Trump telah memenangkan pemilihan?
Yang merupakan laptop terbaik untuk dibeli seharga Rs. 60000?,Apa laptop terbaik di bawah Rs.60000 di India?
Apa saja situs web bagus untuk ulasan buku?,yang merupakan situs ulasan buku terbaik yang menawarkan ulasan mendalam?
Bagaimana saya berbicara bahasa Inggris seperti selebriti?,Bagaimana bisa meningkatkan berbahasa Inggris saya?
Apa buku terbaik untuk berlatih GRE verbal?,Apa buku terbaik untuk dipelajari untuk GRE?
Apa usia terbaik dan paling disarankan bagi seorang pria untuk menikah?,Apa waktu atau usia terbaik bagi seorang pria untuk menikah?
Haruskah tinju dilarang?,Mengapa Boxing diblokir?
Apa yang Anda lakukan ketika Anda tidak bahagia?,Bagaimana Anda jika Anda tidak bahagia?
Reformasi pengaturan spesifik apa yang harus diduga Presiden Donald Trump untuk mencapai pertumbuhan ekonomi jangka panjang yang lebih baik bagi Amerika Serikat?,Reformasi pendidikan spesifik apa yang harus diajukan Presiden Donald Trump untuk mencapai pertumbuhan ekonomi jangka panjang yang lebih baik bagi Amerika Serikat?
Siapa yang lebih baik Dumbledore - Richard Harris (RIP) atau Michael Gambon?,Siapa yang memainkan Dumbledore yang lebih baik: Richard Harris atau Michael Gambon?
Hotel mana yang merupakan hotel terbaik di Varanasi?,Varanasi Hotel terbaik yang nyaman untuk tinggal bersama keluarga?
Bagaimana cara meningkatkan kosakata?,Bagaimana saya bisa meningkatkan kosakata bahasa Inggris saya?
Apa yang dipikirkan oleh para penyintas Holocaust tentang daftar film Schindler?,Apa yang dipikirkan oleh para penyintas Holocaust tentang daftar film Schindler 1993?
Apa itu robots.txt dan pentingnya di situs web?,Apa itu robots.txt di SEO?
Apakah tanaman merasakan sakit?,"Apakah tanaman merasakan sakit (mis. Ketika kita mengunyah kemangi, atau ketika kita memotong tomat)?"
Apa yang akan terjadi jika Patton mengubah senjata Jerman di Rusia dan sekutu bergabung?,Jika Patton berhasil membalikkan senjata Jerman dan bermitra dengan Sekutu melawan Rusia! Bagaimana mungkin berhasil?
Apa saja dompet yang bertiup pikiran yang ada pada tahun 2016 yang tidak diketahui kebanyakan orang?,Apa yang dipikirkan dompet keselamatan yang paling tidak diketahui oleh kebanyakan orang?
Apakah Anda berpikir bahwa saya menyalahgunakan Quora dengan mengajukan pertanyaan lebih banyak daripada menjawab?,Apakah lebih baik mengajukan lebih banyak pertanyaan daripada yang Anda jawab di Quora?
Apa yang menurut kami adalah 5 buku terbaik sepanjang masa?,Apa buku-buku terbaik sepanjang masa?
Apa yang bisa saya lakukan untuk meningkatkan ukuran penis?,Bagaimana cara meningkatkan ukuran penis saya secara manual?
Apa saja pusat pembinaan IAS terbaik di Chennai?,Apa yang terbaik institut pembinaan IAS di Chennai?
Mengapa orang merasa senang ketika mereka menjadi populer?,Mengapa orang merasa senang ketika mereka menjadi populer?
"Yang lebih sulit, AIPMT atau AIPGMEE?",yang memiliki kompetisi lebih ketat dan tingkat pilihan yang lebih sedikit: AIPMT atau AIPGMEE?
Di mana saya dapat belajar struktur dan algoritma data secara online?,Apakah ada situs web seperti Code Academy / Codeschool untuk mempelajari algoritma dan struktur data?
Di mana saya bisa mendapatkan layanan pencetakan amplop yang sangat hemat biaya di Sydney?,Di mana saya bisa mendapatkan layanan yang sangat andal dan profesional untuk pencetakan amplop di Sydney?
Apa pendapat Anda tentang privatisasi Air India?,Haruskah pemerintah India menjual Air India?
Apa saja contoh hadiah yang akan Anda bawa ke baptisan?,Apa saja hadiah yang sesuai untuk dibaptis?
Apa kapasitas tangki diesel kereta?,Berapa kapasitas mesin diesel di kereta?
Bagaimana saya mengajukan pertanyaan tentang Quora? Tolong bantu itu sangat mendesak.,Bagaimana cara memposting pertanyaan di Quora?
Berikan nama dari beberapa film horor terbaik?,Apa film horor terbaik?
Apa yang memengaruhi harga emas di India?,Bagaimana harga emas ditentukan di India?
Mengapa Quaora menghapus pertanyaan saya?,Mengapa Quaora menghapus pertanyaan saya?
Bagaimana seseorang mendapatkan ereksi penis yang lebih lama saat berhubungan seks?,Bagaimana saya menjaga penis saya didirikan saat berhubungan seks?
Tinggi: Bagaimana usia 14 tahun meningkatkan tinggi badannya?,bisa melewatkan menambah tinggi badan saya?
Bagaimana saya menyingkirkan jerawat di wajah saya?,Bagaimana cara menghilangkan jerawat saya dan mendapatkan kulit yang bagus?
Apa saran terburuk yang pernah Anda dapatkan?,Apa nasihat terburuk yang pernah Anda terima dari seseorang?
Apakah iPhone benar-benar bernilai harganya?,Apakah iPhone benar-benar layak harganya?
Akankah kemenangan Donald Trump dalam pemilihan berdampak pada siswa India yang mengajukan pendidikan tinggi di AS?,"Apa yang akan menjadi dampak dari kemenangan Donald Trump tentang siswa India, yang berencana untuk belajar di Amerika Serikat?"
Keputusan pemerintah India untuk memusnahkan ₹ 500 dan ₹ 1000 catatan? Benar atau salah?,Apa pendapat Anda tentang keputusan oleh Pemerintah India untuk memusnahkan 500 dan 1000 Rupee Notes?
Berapa kali Anda seharusnya buang air kecil sehari?,Berapa kali seseorang seharusnya buang air kecil dan mengeluarkan dalam sehari?
Apa yang harus Anda lakukan untuk bersiap menjalankan maraton?,Bagaimana seharusnya seseorang bersiap untuk maraton?
Apa hari paling bahagia dalam hidup Anda?,Apa hari paling bahagia dalam hidupmu? Mengapa?
Mengapa gambar menceritakan lebih dari seribu kata?,Mengapa 'gambar bernilai seribu kata'?
Bagaimana saya bisa mengirim email ke Google?,Bagaimana cara mengirim email ke Google?
Apakah manusia mengalami seleksi alam?,Apakah manusia masih tunduk pada evolusi dengan seleksi alam?
Berapa lama untuk tubuh manusia untuk menggantikan satu liter darah yang disumbangkan?,Berapa lama untuk tubuh Anda mengganti 1 liter darah?
Film Hollywood terbaik yang pernah Anda lihat?,Apa film Hollywood terbaik?
Bisakah saya menemukan teman gadis yang baik di Quora?,Apakah mungkin untuk menemukan teman gadis yang baik di Quora?
Apa cara terbaik untuk berbicara bahasa Inggris dengan lancar?,Bagaimana pelajar bahasa Inggris bisa berbicara dengan lancar?
Bagaimana pemilihan memengaruhi prinsip kedaulatan rakyat?,Apa prinsip kedaulatan populer? Bagaimana pemilihan memengaruhi prinsip kedaulatan rakyat?
Bagaimana cara mencores 500 dan 1000 rupee dapat membantu mengekang korupsi dan uang hitam?,Bagaimana Bannes 500 & 1000 Rupee Notes Memecahkan Masalah Uang Hitam?
Apa pertanyaan paling aneh yang pernah Anda lihat (menurut Anda) di Quora?,yang merupakan pertanyaan paling aneh yang pernah Anda temui di Quora?
Apa novel terbaik yang pernah ada?,Apa novel terbaik sepanjang masa?
Saya ingin belajar pemrograman. di mana saya memulai?,Saya ingin belajar coding bagaimana saya harus memulainya?
Bagaimana saya bisa menambahkan pertanyaan dengan gambar di Quora?,Bagaimana cara memasukkan gambar di Quora?
Apa hewan lucu?,Hewan paling lucu di dunia?
Mengapa petinju disajikan dengan ikat pinggang dan bukan trofi?,Kenapa olahraga pertempuran memberi hadiah kepada juara mereka dengan ikat pinggang alih-alih piala?
Bagaimana saya menjadi lebih kuat secara mental?,Bagaimana cara saya menjadi kuat secara mental?
Apa satu hal yang paling membuat Anda takut?,Apa yang paling membuatmu takut?
Apakah Quora Republican atau Demokrat?,adalah kuora pro demokratis?
Apa dampaknya pada India jika Donald Trump menjadi presiden AS berikutnya?,Apa yang mempengaruhi India jika Donald Trump menjadi presiden?
Bisakah saya meretas whatsapp siapa pun dari jarak jauh?,Bagaimana cara meretas whatsapp online?
Mana yang lebih baik diet veg atau non-sayuran?,Veg atau Non-Veg yang lebih baik untuk diet?
Apakah pisang membantu pencernaan? Mengapa?,Bagaimana pisang bisa membantu meringankan gangguan pencernaan?
Apa cara asli untuk menghasilkan uang melalui online?,Apa cara terbaik untuk menghasilkan uang secara online secara sah?
Apa rasanya dipecat dari Google?,Adakah yang dipecat dari Google?
Bagaimana cara meningkatkan pengetahuan umum?,Bagaimana cara meningkatkan pengetahuan umum saya yang tercepat?
Bagaimana seharusnya saya melakukan seks oral pada seorang wanita?,Apa beberapa tips untuk melakukan seks oral pada wanita?
"Apa pentingnya Pertempuran Somme, dan bagaimana pertempuran ini membandingkan dan kontras dengan Pertempuran Sungai Yalu?",Apa pentingnya pertempuran Somme?
Apa yang harus saya lakukan jika seekor anjing memakan cokelat?,"Apakah aman untuk anjing makan cokelat? Jika tidak, apa yang dapat Anda lakukan jika anjing Anda secara tidak sengaja makan beberapa?"
Apakah ada alien dari planet lain yang sudah ada di bumi?,Apakah ada kedutaan bagi alien pada perjalanan bisnis ke planet Bumi?
Apakah ada cara saya bisa mendapatkan uang secara online tanpa investasi apa pun?,Bisakah saya menghasilkan uang secara online tanpa berinvestasi?
Apa itu satelit Ksatria Hitam?,Apa itu satelit Ksatria Hitam dan apakah itu benar-benar ada?
Mengapa Jill Stein berlari untuk Presiden jika dia tidak memiliki kesempatan untuk menang?,Mengapa Jill Stein masih berlari?
Bagaimana Big Bang dapat dibuat dengan fluktuasi vakum jika waktu tidak ada sebelum Big Bang?,"Jika waktu tidak ada sebelum Big Bang, bagaimana mungkin Big Bang akan terjadi?"
Berapa lama untuk menulis buku?,Berapa lama Anda menulis novel?
"Yang mana yang terbaik, pekerjaan pribadi atau pekerjaan pemerintah?","yang lebih baik, pekerjaan pemerintah atau pekerjaan pribadi?"
Apa cara terbaik untuk melupakan kesalahan?,Bagaimana saya melupakan kesalahan?
Yang merupakan tempat teratas untuk dikunjungi di Kerala?,Apa waktu terbaik untuk mengunjungi Kerala dan apa saja tempat untuk dikunjungi dalam rentang 8 hari?
Di mana saya bisa mendapatkan tiket India vs Spanyol Davis Cup 2016?,Bagaimana saya bisa mendapatkan tiket Piala Davis untuk India vs Spanyol cocok?
Apa beberapa momen memalukan Anda?,Apa momen memalukan hidup Anda?
"Apakah cinchers pinggang benar-benar berfungsi? Jika demikian, bagaimana?",melakukan pelatih pinggang bekerja?
Bagaimana saya bisa meningkatkan lalu lintas ke blog cerita?,Bagaimana cara meningkatkan lalu lintas di situs saya?
Apa game video terbaik?,Apa permainan video terbaik untuk dimainkan?
Apakah mungkin untuk hamil sebelum periode atau setelah periode berakhir?,Bisakah Anda hamil suatu hari sebelum ovulasi?
Apakah ada cara lain yang terlalu membantu dengan sleep apnea tanpa menggunakan mesin CPAP?,Bagaimana Anda memperlakukan sleep apnea tanpa CPAP?
Bagaimana kita bisa mengobati tekanan darah tinggi?,Bagaimana cara memperlakukan tekanan darah yang sangat tinggi?
Apa kegunaan Linux?,Apa gunanya Linux?
Di mana saya bisa mendapatkan ubin dinding dan lantai berkualitas terbaik dengan harga yang sangat terjangkau di daerah Sydney?,Di mana saya bisa mendapatkan layanan yang ramah di Sydney untuk ubin dinding kamar mandi?
Apa pro dan kontra dari melarang catatan mata uang 500 dan 1000 di India?,Apa kelebihan dan kekurangan larangan 500 dan 1000 rupee di India?
Apa cara terbaik untuk mendapatkan uang ekstra dari rumah?,Apa cara terbaik untuk mendapatkan uang ekstra di rumah?
Apa cerita dokter DOOM terbaik?,Apa komik terbaik yang menampilkan Dokter Doom?
Apakah lesbianisme ada?,adalah lesbianisme nyata?
Apakah India masih bisa memenangkan medali emas di Olimpiade Rio bahkan setelah 4 hari dan tidak ada medali?,akankah India memenangkan medali emas di Olimpiade Rio?
Apa yang harus saya lakukan ketika naksir saya adalah teman saya?,Apa yang harus saya lakukan jika saya naksir teman saya?
Bagaimana bisa Bantuan Polandia Polandia untuk Penghapusan Kutil?,dapat menggunakan cat kuku untuk pemindahan kutil?
Apa pekerjaan remaja membayar tertinggi?,Apa pekerjaan pembayaran tertinggi yang bisa didapatkan remaja?
Apa pilihan karier dan peluang kerja untuk mahasiswa pascasarjana teknik mesin di Jerman?,Bagaimana peluang kerja di Jerman untuk seorang siswa India dengan master di bidang teknik mesin?
Kenapa aku melihat benci untuk Katrina Kaif tiba-tiba?,Apa alasan untuk membenci Katrina Kaif?
Apa itu pelacak putaran? Apakah mereka legal untuk dimiliki publik di negara bagian Alabama?,Apa itu pelacak putaran? Apakah mereka legal untuk dimiliki publik di negara bagian Delaware?
Bagaimana hubungan jarak jauh dipertahankan?,Apakah hubungan jarak jauh benar-benar berfungsi?
Bisakah saya menghapus pertanyaan saya sendiri setelah dijawab?,Bagaimana Anda menghapus pertanyaan dari Quora?
Apakah Anda pikir Indonesia akan menjadi negara yang lebih baik jika Belanda tidak pernah menjajahnya?,Berapa banyak negara baru di zaman modern Indonesia akan ada orang Belanda tidak pernah menjajah Indonesia?
Apa subjek opsional terbaik untuk layanan sipil?,Apa subjek opsional terbaik untuk pemeriksaan layanan sipil?
Mengapa Ryan Lochte berbohong tentang dirampok oleh polisi?,Apa yang Ryan Lochte lakukan salah di Rio?
Hal aneh apa yang Anda jalani pada anak-anak Anda lakukan?,Apa hal paling aneh yang pernah Anda lakukan pada anak Anda?
Bisakah Anda hamil suatu hari sebelum ovulasi?,Bisakah saya hamil beberapa jam sebelum saya mendapat haid?
Bagaimana saya bisa mencintai diri sendiri tanpa syarat?,Bagaimana kita bisa mencintai diri kita sendiri tanpa syarat?
Apa saja alasan yang sah untuk keluar dari tugas juri?,Bagaimana cara saya menyingkirkan tugas juri?
Bagaimana Anda mendefinisikan 'makna'?,Apa definisi 'makna'?
Teknik apa yang Anda gunakan untuk memahami konsep baru dengan cepat?,Bagaimana saya bisa memahami konsep baru dengan cepat?
Apa yang diajarkan buku-buku sejarah Pakistan tentang orang India?,Apa yang dikatakan buku teks sejarah di Sekolah Pakistan tentang partisi dengan India?
Bagaimana Anda dapat meningkatkan keterampilan komunikasi Anda?,Apa yang harus kita lakukan untuk meningkatkan keterampilan komunikasi?
Manakah platform terbaik untuk mempelajari pengembangan aplikasi seluler Android?,Apa tutorial dan buku online yang bagus untuk mempelajari pengembangan Android?
Bagaimana larangan 500 dan 1000 Rupee mencatat meningkatkan ekonomi India?,Apa yang akan menjadi efek dari demonetisasi 500 dan 1000 catatan tentang ekonomi India?
Bagaimana Anda memperlakukan radang tenggorokan?,Bagaimana Anda menyingkirkan radang tenggorokan?
Apakah visualisasi kreatif benar-benar bekerja dalam membantu orang mencapai tujuan?,Apakah visualisasi benar-benar berfungsi?
Apa hal-hal yang ingin Anda tingkatkan tentang diri Anda?,Apa yang ingin Anda ubah tentang diri Anda?
Bagaimana saya bisa minum lebih banyak air?,Bagaimana Anda minum lebih banyak air setiap hari?
Apa solusi untuk mengontrol kemarahan?,Apa cara terbaik untuk mengendalikan kemarahan Anda?
Di mana saya mendapatkan akomodasi murah di Goa?,Bagaimana saya bisa menemukan hotel yang bagus dan murah di Goa?
Apa cara terbaik untuk mencintai diri sendiri?,Bagaimana Anda bisa mencintai diri sendiri?
Apakah Anda mendapatkan uang saat menggunakan Quora atau menjawab pertanyaan di Quora?,Bagaimana saya bisa menghasilkan uang dengan jawaban Quora?
Siapa aktor / aktris yang paling berlebihan?,Siapa aktor dan aktris yang paling berlebihan sepanjang masa?
Apakah MBA layak?,Apakah layak untuk melakukan gelar MBA?
Bisakah Astrologi benar-benar membaca masa depan?,dapat astrologi dan astrolog secara akurat memprediksi masa depan?
Mengapa ada peraturan tentang kebebasan berbicara di Quora seperti disebut Freedom Speech Forum?,Apakah ada kebebasan berbicara di Quora?
Bagaimana Anda mengatasi rekurensi ini [matematika] t (n) = t \ kiri (\ kiri \ lfloor \ frac {n} {4} \ right \ rfloor \ kanan) + n [/ matematika] dengan metode substitusi?,Bagaimana Anda memecahkan rekurensi berikut menggunakan metode substitusi?
